feature_path,primary_label,y
C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\environment\processed\features\-0DdlOuIFUI_50.npy,water,7
C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\environment\processed\features\-0O3e95y4gE_100.npy,indoor,2
C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\environment\processed\features\-2PDE7hUArE_30.npy,vehicle_ground,5
C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\environment\processed\features\-3hKkjKmIGE_30.npy,vehicle_water,6
C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\environment\processed\features\-5GhUbDLYkQ_16.npy,water,7
C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\environment\processed\features\-6RN8skIHU4_20.npy,indoor,2
C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\environment\processed\features\-8S_tLKfeJg_200.npy,indoor,2
C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\environment\processed\features\-8_HpHg6nCw_30.npy,water,7
C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\environment\processed\features\-8fQePz4FcE_30.npy,indoor,2
C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\environment\processed\features\-99daJhXYJY_30.npy,vehicle_water,6
C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\environment\processed\features\-A0MTi2NMGI_30.npy,vehicle_ground,5
C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\environment\processed\features\-AgbNy9f2sg_80.npy,vehicle_water,6
C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\environment\processed\features\-EFS2mihxs0_240.npy,vehicle_ground,5
C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\environment\processed\features\-GDC7PuqdOM_30.npy,vehicle_ground,5
C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\environment\processed\features\-GREE8GdRrc_30.npy,outdoor_nature,4
C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\environment\processed\features\-GaHBgRGi4s_10.npy,indoor,2
C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\environment\processed\features\-GbQWmFzVdY_60.npy,animal,0
C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\environment\processed\features\-K-k1pxeRtQ_30.npy,crowd,1
