ytid,label_names,label_ids,feature_path
100,"['Animal', 'Animal sounds', 'Bird', 'Bird vocalization, bird call, bird song', 'Chirp, tweet', 'Mechanical sounds', 'Nature sounds', 'Ocean', 'Tap', 'Water', 'Waves, surf', 'Wild animals']","[5, 6, 15, 16, 37, 119, 127, 128, 174, 195, 197, 200]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100.npy
10000,"['Breathing', 'Human sounds', 'Respiratory sounds']","[22, 103, 146]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\10000.npy
100005,"['Music', 'Musical instrument', 'Percussion', 'Rattle (instrument)']","[125, 126, 132, 145]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100005.npy
100006,"['Music', 'Musical instrument', 'Percussion', 'Rattle (instrument)']","[125, 126, 132, 145]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100006.npy
100007,"['Music', 'Musical instrument', 'Percussion', 'Rattle (instrument)']","[125, 126, 132, 145]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100007.npy
10001,"['Breathing', 'Human sounds', 'Respiratory sounds']","[22, 103, 146]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\10001.npy
100011,"['Nature sounds', 'Thunder', 'Thunderstorm']","[127, 178, 179]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100011.npy
100017,"['Fill (with liquid)', 'Liquid', 'Mechanical sounds', 'Nature sounds', 'Pour', 'Trickle, dribble']","[78, 112, 119, 127, 135, 186]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100017.npy
100018,"['Domestic sounds, home sounds', 'Gurgling', 'Mechanical sounds', 'Nature sounds', 'Toilet flush', 'Water']","[63, 95, 119, 127, 182, 195]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100018.npy
100019,"['Domestic sounds, home sounds', 'Mechanical sounds', 'Zipper (clothing)']","[63, 119, 207]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100019.npy
10002,"['Breathing', 'Human sounds', 'Respiratory sounds']","[22, 103, 146]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\10002.npy
100021,"['Chink, clink', 'Cutlery, silverware', 'Domestic sounds, home sounds', 'Glass', 'Impact sounds', 'Mechanical sounds']","[36, 58, 63, 88, 106, 119]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100021.npy
10003,"['Breathing', 'Human sounds', 'Respiratory sounds']","[22, 103, 146]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\10003.npy
100030,"['Animal', 'Animal sounds', 'Cat', 'Domestic animals, pets', 'Meow']","[5, 6, 29, 62, 121]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100030.npy
100032,"['Animal', 'Animal sounds', 'Bark', 'Dog', 'Domestic animals, pets']","[5, 6, 8, 61, 62]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100032.npy
100035,"['Nature sounds', 'Water']","[127, 195]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100035.npy
100036,"['Animal', 'Animal sounds', 'Bird', 'Wild animals']","[5, 6, 15, 200]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100036.npy
100039,"['Animal', 'Animal sounds', 'Bird', 'Wild animals']","[5, 6, 15, 200]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100039.npy
10004,"['Breathing', 'Human sounds', 'Respiratory sounds']","[22, 103, 146]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\10004.npy
100041,"['Animal', 'Animal sounds', 'Bird', 'Crow', 'Wild animals']","[5, 6, 15, 51, 200]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100041.npy
100042,"['Animal', 'Animal sounds', 'Bird', 'Wild animals']","[5, 6, 15, 200]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100042.npy
100043,"['Animal', 'Animal sounds', 'Bird', 'Wild animals']","[5, 6, 15, 200]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100043.npy
100047,"['Animal', 'Animal sounds', 'Bird', 'Wild animals']","[5, 6, 15, 200]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100047.npy
10005,"['Breathing', 'Human sounds', 'Respiratory sounds']","[22, 103, 146]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\10005.npy
100069,"['Fart', 'Human sounds']","[75, 103]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100069.npy
10007,"['Breathing', 'Human sounds', 'Respiratory sounds']","[22, 103, 146]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\10007.npy
100072,"['Fart', 'Human sounds']","[75, 103]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100072.npy
100078,"['Fart', 'Human sounds']","[75, 103]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100078.npy
10008,"['Breathing', 'Human sounds', 'Respiratory sounds']","[22, 103, 146]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\10008.npy
100080,"['Burping, eructation', 'Human sounds']","[23, 103]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100080.npy
100081,"['Burping, eructation', 'Human sounds']","[23, 103]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100081.npy
100082,"['Fart', 'Human sounds']","[75, 103]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100082.npy
100083,"['Crowd', 'Crowd sounds', 'Human group actions', 'Human sounds']","[52, 53, 102, 103]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100083.npy
100092,"['Applause', 'Crowd', 'Crowd sounds', 'Human group actions', 'Human sounds']","[7, 52, 53, 102, 103]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100092.npy
100093,"['Applause', 'Crowd', 'Crowd sounds', 'Human group actions', 'Human sounds']","[7, 52, 53, 102, 103]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100093.npy
100095,"['Applause', 'Crowd sounds', 'Human group actions', 'Human sounds']","[7, 53, 102, 103]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100095.npy
100096,"['Applause', 'Crowd sounds', 'Human group actions', 'Human sounds']","[7, 53, 102, 103]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100096.npy
100098,"['Applause', 'Crowd sounds', 'Human group actions', 'Human sounds']","[7, 53, 102, 103]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100098.npy
100099,"['Applause', 'Crowd', 'Crowd sounds', 'Human group actions', 'Human sounds']","[7, 52, 53, 102, 103]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100099.npy
1001,"['Domestic sounds, home sounds', 'Engine', 'Mechanical sounds', 'Sink (filling or washing)', 'Water tap, faucet']","[63, 72, 119, 158, 196]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\1001.npy
100101,"['Applause', 'Crowd', 'Crowd sounds', 'Human group actions', 'Human sounds']","[7, 52, 53, 102, 103]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100101.npy
100104,"['Applause', 'Crowd sounds', 'Human group actions', 'Human sounds']","[7, 53, 102, 103]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100104.npy
100114,"['Animal', 'Animal sounds', 'Cat', 'Domestic animals, pets']","[5, 6, 29, 62]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100114.npy
100124,"['Animal', 'Animal sounds', 'Dog', 'Domestic animals, pets']","[5, 6, 61, 62]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100124.npy
100143,"['Explosion', 'Fireworks', 'Impact sounds']","[74, 81, 106]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100143.npy
100144,"['Explosion', 'Fireworks', 'Gunshot, gunfire', 'Impact sounds']","[74, 81, 94, 106]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100144.npy
100150,"['Aircraft', 'Vehicle', 'Vehicle sounds']","[3, 191, 193]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100150.npy
100155,"['Aircraft', 'Fixed-wing aircraft, airplane', 'Vehicle', 'Vehicle sounds']","[3, 82, 191, 193]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100155.npy
100183,"['Boom', 'Explosion', 'Impact sounds']","[19, 74, 106]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100183.npy
100207,"['Human sounds', 'Human voice', 'Singing']","[103, 104, 157]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100207.npy
100210,"['Domestic sounds, home sounds', 'Mechanical sounds']","[63, 119]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100210.npy
100219,"['Human sounds', 'Human voice']","[103, 104]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100219.npy
100246,"['Animal', 'Animal sounds', 'Bird', 'Crow', 'Wild animals']","[5, 6, 15, 51, 200]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100246.npy
100248,"['Animal', 'Animal sounds', 'Bird', 'Wild animals']","[5, 6, 15, 200]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100248.npy
100249,"['Animal', 'Animal sounds', 'Bird', 'Wild animals']","[5, 6, 15, 200]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100249.npy
100265,"['Alarm', 'Animal', 'Animal sounds', 'Bird', 'Bird vocalization, bird call, bird song', 'Car', 'Chirp, tweet', 'Mechanical sounds', 'Motor vehicle (road)', 'Rail transport', 'Train', 'Vehicle', 'Vehicle horn, car horn, honking', 'Vehicle sounds', 'Wild animals']","[4, 5, 6, 15, 16, 27, 37, 119, 123, 140, 185, 191, 192, 193, 200]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100265.npy
100279,"['Mechanical sounds', 'Squeak']","[119, 168]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100279.npy
100300,"['Human sounds', 'Human voice', 'Music', 'Musical instrument', 'Singing']","[103, 104, 125, 126, 157]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100300.npy
100303,"['Fart', 'Human sounds']","[75, 103]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100303.npy
100304,"['Fart', 'Human sounds']","[75, 103]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100304.npy
100305,"['Fart', 'Human sounds']","[75, 103]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100305.npy
100306,"['Fart', 'Human sounds']","[75, 103]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100306.npy
100307,"['Fart', 'Human sounds']","[75, 103]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100307.npy
100308,"['Fart', 'Human sounds']","[75, 103]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100308.npy
100309,"['Fart', 'Human sounds']","[75, 103]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100309.npy
100310,"['Fart', 'Human sounds']","[75, 103]",C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\events\processed\features\100310.npy
