clip_id,split,audio_path,label_ids,label_names
64760,dev,data\events\FSD50K\FSD50K.dev_audio\64760.wav,Electric_guitar;Guitar;Plucked_string_instrument;Musical_instrument;Music,Electric_guitar;Guitar;Plucked_string_instrument;Musical_instrument;Music
16399,dev,data\events\FSD50K\FSD50K.dev_audio\16399.wav,Electric_guitar;Guitar;Plucked_string_instrument;Musical_instrument;Music,Electric_guitar;Guitar;Plucked_string_instrument;Musical_instrument;Music
16401,dev,data\events\FSD50K\FSD50K.dev_audio\16401.wav,Electric_guitar;Guitar;Plucked_string_instrument;Musical_instrument;Music,Electric_guitar;Guitar;Plucked_string_instrument;Musical_instrument;Music
16402,dev,data\events\FSD50K\FSD50K.dev_audio\16402.wav,Electric_guitar;Guitar;Plucked_string_instrument;Musical_instrument;Music,Electric_guitar;Guitar;Plucked_string_instrument;Musical_instrument;Music
16404,dev,data\events\FSD50K\FSD50K.dev_audio\16404.wav,Electric_guitar;Guitar;Plucked_string_instrument;Musical_instrument;Music,Electric_guitar;Guitar;Plucked_string_instrument;Musical_instrument;Music
345111,dev,data\events\FSD50K\FSD50K.dev_audio\345111.wav,Electric_guitar;Guitar;Plucked_string_instrument;Musical_instrument;Music,Electric_guitar;Guitar;Plucked_string_instrument;Musical_instrument;Music
64761,dev,data\events\FSD50K\FSD50K.dev_audio\64761.wav,Electric_guitar;Guitar;Plucked_string_instrument;Musical_instrument;Music,Electric_guitar;Guitar;Plucked_string_instrument;Musical_instrument;Music
268259,dev,data\events\FSD50K\FSD50K.dev_audio\268259.wav,Electric_guitar;Guitar;Plucked_string_instrument;Musical_instrument;Music,Electric_guitar;Guitar;Plucked_string_instrument;Musical_instrument;Music
64762,dev,data\events\FSD50K\FSD50K.dev_audio\64762.wav,Electric_guitar;Guitar;Plucked_string_instrument;Musical_instrument;Music,Electric_guitar;Guitar;Plucked_string_instrument;Musical_instrument;Music
160826,dev,data\events\FSD50K\FSD50K.dev_audio\160826.wav,Electric_guitar;Guitar;Plucked_string_instrument;Musical_instrument;Music,Electric_guitar;Guitar;Plucked_string_instrument;Musical_instrument;Music
40515,dev,data\events\FSD50K\FSD50K.dev_audio\40515.wav,Electric_guitar;Guitar;Plucked_string_instrument;Musical_instrument;Music,Electric_guitar;Guitar;Plucked_string_instrument;Musical_instrument;Music
40516,dev,data\events\FSD50K\FSD50K.dev_audio\40516.wav,Electric_guitar;Guitar;Plucked_string_instrument;Musical_instrument;Music,Electric_guitar;Guitar;Plucked_string_instrument;Musical_instrument;Music
40517,dev,data\events\FSD50K\FSD50K.dev_audio\40517.wav,Electric_guitar;Guitar;Plucked_string_instrument;Musical_instrument;Music,Electric_guitar;Guitar;Plucked_string_instrument;Musical_instrument;Music
420945,dev,data\events\FSD50K\FSD50K.dev_audio\420945.wav,Electric_guitar;Guitar;Plucked_string_instrument;Musical_instrument;Music,Electric_guitar;Guitar;Plucked_string_instrument;Musical_instrument;Music
420946,dev,data\events\FSD50K\FSD50K.dev_audio\420946.wav,Electric_guitar;Guitar;Plucked_string_instrument;Musical_instrument;Music,Electric_guitar;Guitar;Plucked_string_instrument;Musical_instrument;Music
420947,dev,data\events\FSD50K\FSD50K.dev_audio\420947.wav,Electric_guitar;Guitar;Plucked_string_instrument;Musical_instrument;Music,Electric_guitar;Guitar;Plucked_string_instrument;Musical_instrument;Music
86100,dev,data\events\FSD50K\FSD50K.dev_audio\86100.wav,Electric_guitar;Guitar;Plucked_string_instrument;Musical_instrument;Music,Electric_guitar;Guitar;Plucked_string_instrument;Musical_instrument;Music
