clip_id,audio_path,label,source,duration,seg_start,seg_end
cv_common_voice_en_19265925,data\speech\CommonVoice\cv-corpus-25.0-2026-03-09\en\clips\common_voice_en_19265925.mp3,single_speaker,common_voice,,,
cv_common_voice_en_19265927,data\speech\CommonVoice\cv-corpus-25.0-2026-03-09\en\clips\common_voice_en_19265927.mp3,single_speaker,common_voice,,,
cv_common_voice_en_19265928,data\speech\CommonVoice\cv-corpus-25.0-2026-03-09\en\clips\common_voice_en_19265928.mp3,single_speaker,common_voice,,,
cv_common_voice_en_20190221,data\speech\CommonVoice\cv-corpus-25.0-2026-03-09\en\clips\common_voice_en_20190221.mp3,single_speaker,common_voice,,,
cv_common_voice_en_20190222,data\speech\CommonVoice\cv-corpus-25.0-2026-03-09\en\clips\common_voice_en_20190222.mp3,single_speaker,common_voice,,,
cv_common_voice_en_20190224,data\speech\CommonVoice\cv-corpus-25.0-2026-03-09\en\clips\common_voice_en_20190224.mp3,single_speaker,common_voice,,,
cv_common_voice_en_19979574,data\speech\CommonVoice\cv-corpus-25.0-2026-03-09\en\clips\common_voice_en_19979574.mp3,single_speaker,common_voice,,,
cv_common_voice_en_19979575,data\speech\CommonVoice\cv-corpus-25.0-2026-03-09\en\clips\common_voice_en_19979575.mp3,single_speaker,common_voice,,,
cv_common_voice_en_19979576,data\speech\CommonVoice\cv-corpus-25.0-2026-03-09\en\clips\common_voice_en_19979576.mp3,single_speaker,common_voice,,,
cv_common_voice_en_19952828,data\speech\CommonVoice\cv-corpus-25.0-2026-03-09\en\clips\common_voice_en_19952828.mp3,single_speaker,common_voice,,,
cv_common_voice_en_19952829,data\speech\CommonVoice\cv-corpus-25.0-2026-03-09\en\clips\common_voice_en_19952829.mp3,single_speaker,common_voice,,,
cv_common_voice_en_19952830,data\speech\CommonVoice\cv-corpus-25.0-2026-03-09\en\clips\common_voice_en_19952830.mp3,single_speaker,common_voice,,,
cv_common_voice_en_20938700,data\speech\CommonVoice\cv-corpus-25.0-2026-03-09\en\clips\common_voice_en_20938700.mp3,single_speaker,common_voice,,,
cv_common_voice_en_20938701,data\speech\CommonVoice\cv-corpus-25.0-2026-03-09\en\clips\common_voice_en_20938701.mp3,single_speaker,common_voice,,,
cv_common_voice_en_20938702,data\speech\CommonVoice\cv-corpus-25.0-2026-03-09\en\clips\common_voice_en_20938702.mp3,single_speaker,common_voice,,,
cv_common_voice_en_140507,data\speech\CommonVoice\cv-corpus-25.0-2026-03-09\en\clips\common_voice_en_140507.mp3,single_speaker,common_voice,,,
cv_common_voice_en_140508,data\speech\CommonVoice\cv-corpus-25.0-2026-03-09\en\clips\common_voice_en_140508.mp3,single_speaker,common_voice,,,
cv_common_voice_en_19732787,data\speech\CommonVoice\cv-corpus-25.0-2026-03-09\en\clips\common_voice_en_19732787.mp3,single_speaker,common_voice,,,
cv_common_voice_en_19732788,data\speech\CommonVoice\cv-corpus-25.0-2026-03-09\en\clips\common_voice_en_19732788.mp3,single_speaker,common_voice,,,
cv_common_voice_en_19732789,data\speech\CommonVoice\cv-corpus-25.0-2026-03-09\en\clips\common_voice_en_19732789.mp3,single_speaker,common_voice,,,
cv_common_voice_en_18205904,data\speech\CommonVoice\cv-corpus-25.0-2026-03-09\en\clips\common_voice_en_18205904.mp3,single_speaker,common_voice,,,
cv_common_voice_en_18205913,data\speech\CommonVoice\cv-corpus-25.0-2026-03-09\en\clips\common_voice_en_18205913.mp3,single_speaker,common_voice,,,
cv_common_voice_en_20919397,data\speech\CommonVoice\cv-corpus-25.0-2026-03-09\en\clips\common_voice_en_20919397.mp3,single_speaker,common_voice,,,
cv_common_voice_en_20919398,data\speech\CommonVoice\cv-corpus-25.0-2026-03-09\en\clips\common_voice_en_20919398.mp3,single_speaker,common_voice,,,
cv_common_voice_en_20919401,data\speech\CommonVoice\cv-corpus-25.0-2026-03-09\en\clips\common_voice_en_20919401.mp3,single_speaker,common_voice,,,
cv_common_voice_en_17147507,data\speech\CommonVoice\cv-corpus-25.0-2026-03-09\en\clips\common_voice_en_17147507.mp3,single_speaker,common_voice,,,
cv_common_voice_en_20442099,data\speech\CommonVoice\cv-corpus-25.0-2026-03-09\en\clips\common_voice_en_20442099.mp3,single_speaker,common_voice,,,
