ytid,start,end,url,path,status,md5,ts,label_ids,label_names,num_labels,feature_path
-0O3e95y4gE,100.0,110.0,https://www.youtube.com/watch?v=-0O3e95y4gE,data\environment\raw\-0O3e95y4gE_100.0_110.0.wav,ok,ef53ae601df113f0fa481dca080b5310,1762948709.9585915,/m/07r4wb8;/t/dd00125,"[""Knock;Inside, small room""]",1,..\data\environment\processed\features\-0O3e95y4gE_100.0_110.0.npy
-3hKkjKmIGE,30.0,40.0,https://www.youtube.com/watch?v=-3hKkjKmIGE,data\environment\raw\-3hKkjKmIGE_30.0_40.0.wav,ok,f7e5ae8de617d093be3683a47673cade,1762948719.0100057,/m/019jd;/m/06q74,"[""Boat, Water vehicle;Ship""]",1,..\data\environment\processed\features\-3hKkjKmIGE_30.0_40.0.npy
-6RN8skIHU4,20.0,30.0,https://www.youtube.com/watch?v=-6RN8skIHU4,data\environment\raw\-6RN8skIHU4_20.0_30.0.wav,ok,916f83d7fc89fb445feeaadb40febbb4,1762948728.447867,/m/09x0r;/m/0dv5r;/t/dd00125,"[""Speech;Camera;Inside, small room""]",1,..\data\environment\processed\features\-6RN8skIHU4_20.0_30.0.npy
-8S_tLKfeJg,200.0,210.0,https://www.youtube.com/watch?v=-8S_tLKfeJg,data\environment\raw\-8S_tLKfeJg_200.0_210.0.wav,ok,73aa38fd294e70e326861485567b38d2,1762948738.6283436,/m/04fgwm;/m/09x0r;/t/dd00125,"[""Electric toothbrush;Speech;Inside, small room""]",1,..\data\environment\processed\features\-8S_tLKfeJg_200.0_210.0.npy
-8fQePz4FcE,30.0,40.0,https://www.youtube.com/watch?v=-8fQePz4FcE,data\environment\raw\-8fQePz4FcE_30.0_40.0.wav,ok,41b75e5919bae779bd801349b997591b,1762948748.3438652,/m/04rlf;/m/07xzm;/t/dd00126,"[""Music;Ukulele;Inside, large room or hall""]",1,..\data\environment\processed\features\-8fQePz4FcE_30.0_40.0.npy
-99daJhXYJY,30.0,40.0,https://www.youtube.com/watch?v=-99daJhXYJY,data\environment\raw\-99daJhXYJY_30.0_40.0.wav,ok,b243d83b8c8fae275ae9462a5929c84c,1762948756.902874,/m/019jd;/m/02rlv9;/m/03m9d0z;/t/dd00092,"[""Boat, Water vehicle;Motorboat, speedboat;Wind;Wind noise (microphone)""]",1,..\data\environment\processed\features\-99daJhXYJY_30.0_40.0.npy
-A0MTi2NMGI,30.0,40.0,https://www.youtube.com/watch?v=-A0MTi2NMGI,data\environment\raw\-A0MTi2NMGI_30.0_40.0.wav,ok,756484d5c013732ea5a265ac5dc23452,1762948766.6937592,/t/dd00134,"[""Car passing by""]",1,..\data\environment\processed\features\-A0MTi2NMGI_30.0_40.0.npy
-EFS2mihxs0,240.0,250.0,https://www.youtube.com/watch?v=-EFS2mihxs0,data\environment\raw\-EFS2mihxs0_240.0_250.0.wav,ok,adcf3e67427a470d057776187591b72a,1762948803.069649,/m/02rhddq;/m/07yv9;/t/dd00129,"[""Reversing beeps;Vehicle;Outside, rural or natural""]",1,..\data\environment\processed\features\-EFS2mihxs0_240.0_250.0.npy
-GREE8GdRrc,30.0,40.0,https://www.youtube.com/watch?v=-GREE8GdRrc,data\environment\raw\-GREE8GdRrc_30.0_40.0.wav,ok,4b127f7eab3536c262f002dbb521eef3,1762948812.4484494,/m/02z32qm;/t/dd00129,"[""Fusillade;Outside, rural or natural""]",1,..\data\environment\processed\features\-GREE8GdRrc_30.0_40.0.npy
-GbQWmFzVdY,60.0,70.0,https://www.youtube.com/watch?v=-GbQWmFzVdY,data\environment\raw\-GbQWmFzVdY_60.0_70.0.wav,ok,af8d7a49e947c79d3d3ec1561c9114cb,1762948852.9185297,/m/01h3n;/m/03vt0;/m/0h2mp,"[""Bee, wasp, etc.;Insect;Fly, housefly""]",1,..\data\environment\processed\features\-GbQWmFzVdY_60.0_70.0.npy
-JKLmqDk9p8,490.0,500.0,https://www.youtube.com/watch?v=-JKLmqDk9p8,data\environment\raw\-JKLmqDk9p8_490.0_500.0.wav,ok,231657f9cb88d3892586a01e36b4a1c1,1762948888.703121,/m/06mb1;/m/07r10fb;/m/0jb2l;/m/0ngt1;/t/dd00038,"[""Rain;Raindrop;Thunderstorm;Thunder;Rain on surface""]",1,..\data\environment\processed\features\-JKLmqDk9p8_490.0_500.0.npy
-JOKwS64mRU,150.0,160.0,https://www.youtube.com/watch?v=-JOKwS64mRU,data\environment\raw\-JOKwS64mRU_150.0_160.0.wav,ok,99cb7eb5ad81ff28d868ed1538ef37a0,1762948898.2077188,/m/019jd;/m/03m9d0z;/m/06q74;/t/dd00092,"[""Boat, Water vehicle;Wind;Ship;Wind noise (microphone)""]",1,..\data\environment\processed\features\-JOKwS64mRU_150.0_160.0.npy
-K-k1pxeRtQ,30.0,40.0,https://www.youtube.com/watch?v=-K-k1pxeRtQ,data\environment\raw\-K-k1pxeRtQ_30.0_40.0.wav,ok,544881005a54be1c34a4cbace23fd930,1762948908.648078,/m/03qtwd;/m/04gy_2,"[""Crowd;Battle cry""]",1,..\data\environment\processed\features\-K-k1pxeRtQ_30.0_40.0.npy
-K4R9SXZZsk,10.0,20.0,https://www.youtube.com/watch?v=-K4R9SXZZsk,data\environment\raw\-K4R9SXZZsk_10.0_20.0.wav,ok,3a108b8fd03892651be38dce4bf006c7,1762948918.7111979,/m/012f08;/m/07yv9;/m/096m7z;/m/0k4j,"[""Motor vehicle (road);Vehicle;Noise;Car""]",1,..\data\environment\processed\features\-K4R9SXZZsk_10.0_20.0.npy
-L44JqysUy8,190.0,200.0,https://www.youtube.com/watch?v=-L44JqysUy8,data\environment\raw\-L44JqysUy8_190.0_200.0.wav,ok,83b9f6b1df37412cf67df19a7a15f572,1762948928.6813316,/m/07qc9xj;/m/09x0r;/t/dd00125,"[""Clicking;Speech;Inside, small room""]",1,..\data\environment\processed\features\-L44JqysUy8_190.0_200.0.npy
-MfaG0whPJc,130.0,140.0,https://www.youtube.com/watch?v=-MfaG0whPJc,data\environment\raw\-MfaG0whPJc_130.0_140.0.wav,ok,8a6be4ae3f936f87ebbb5a636b8f754a,1762948963.9066103,/m/07qv4k0;/t/dd00129,"[""Scrape;Outside, rural or natural""]",1,..\data\environment\processed\features\-MfaG0whPJc_130.0_140.0.npy
-MtYGIr-o08,50.0,60.0,https://www.youtube.com/watch?v=-MtYGIr-o08,data\environment\raw\-MtYGIr-o08_50.0_60.0.wav,ok,003d3e178a11baed36f53453dcd909d3,1762948973.0967593,/m/03qtwd;/m/04gy_2,"[""Crowd;Battle cry""]",1,..\data\environment\processed\features\-MtYGIr-o08_50.0_60.0.npy
-ODqYMQFwsY,30.0,40.0,https://www.youtube.com/watch?v=-ODqYMQFwsY,data\environment\raw\-ODqYMQFwsY_30.0_40.0.wav,ok,0fc628b36aa20eff1cac957707c14f03,1762948982.3278494,/t/dd00134,"[""Car passing by""]",1,..\data\environment\processed\features\-ODqYMQFwsY_30.0_40.0.npy
